last_name, first_name,player_id,year,p_era,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,meatball_swing_percent,iz_contact_percent,whiff_percent,swing_percent,
Miley, Wade,489119,2019,3.98,68.8,15.2,26.8,38,61.1,78.6,84.2,22.8,44.6,
Quintana, Jose,500779,2019,4.68,64,12,26.6,39.4,60.3,68.6,87.5,20.9,44.3,
Minor, Mike,501985,2019,3.59,67.2,21,29.2,37.8,61.8,73.2,78.5,26.2,47.8,
Samardzija, Jeff,502188,2019,3.52,70.2,16,28.2,28.9,70.7,82.8,83.4,19.9,48.3,
Leake, Mike,502190,2019,4.29,69.5,11.6,30.4,33.5,66.5,78.9,87.9,18,50.4,
Darvish, Yu,506433,2019,3.98,64.1,20.4,31.7,50,48.6,73.8,77.7,29.8,48.3,
Bumgarner, Madison,518516,2019,3.90,70.5,17.7,31.6,39.4,60.6,75.4,81.5,24.6,50.7,
Kelly, Merrill,518876,2019,4.42,68.9,16.4,27.4,35.7,63.8,74.8,82.9,22.3,47.2,
Porcello, Rick,519144,2019,5.52,67.6,13.5,29.5,28.7,70.5,79.2,85.9,17.9,49.4,
Perez, Martin,527048,2019,5.12,68.4,14.4,32.7,34.1,64.7,72.4,85.1,21.5,49,
Teheran, Julio,527054,2019,3.81,68.4,17,26.7,32.6,66.7,81,82.9,22.2,45.3,
Cole, Gerrit,543037,2019,2.50,66,28.3,32.3,56.9,43.1,78.4,71.4,37.2,49.9,
DeSclafani, Anthony,543101,2019,3.89,67.5,14,29.9,43.3,56,76,85.7,23.5,48.1,
Gray, Sonny,543243,2019,2.87,59.8,14.5,27.8,50.8,47.8,74.2,84.5,28.1,42.2,
Hendricks, Kyle,543294,2019,3.46,64.3,17,33.5,31.9,67.2,72,82.5,22,49.3,
Roark, Tanner,543699,2019,4.35,68.9,15,25.9,35.8,62.7,79.9,84.3,20.8,45.9,
Strasburg, Stephen,544931,2019,3.32,63.1,18.8,35,47.7,51.7,65.7,80.2,30.5,47.7,
Bauer, Trevor,545333,2019,4.48,64.9,18.1,28,52,48,70.3,81.2,29.3,45.3,
Tanaka, Masahiro,547888,2019,4.45,68,13.4,34.7,41,58.8,79.1,86.4,23.2,50.4,
Ryu, Hyun Jin,547943,2019,2.32,67.6,18,33.5,36.9,62.1,72,81.3,24.7,49.7,
Wheeler, Zack,554430,2019,3.96,69.6,17.8,30.8,35.2,64.5,76.5,81.5,23,50.9,
Boyd, Matthew,571510,2019,4.56,68.9,22.4,30.7,51.5,48.5,73.7,77.4,31.1,49.8,
Corbin, Patrick,571578,2019,3.25,65.7,15.6,34.3,53.2,46.1,72.5,83.3,31.5,47.4,
Fiers, Mike,571666,2019,3.90,66.3,14.6,26.9,27.6,72.1,69,84.9,18.2,47.3,
Mikolas, Miles,571945,2019,4.16,65,14.6,33.2,35.4,63.8,76.3,84.7,21.5,49.3,
